ip4	ip6
37.59.47.27	2001:41d0:8:6a1b::
31.179.131.246	2600:1f18:64d9:1603:4436:871e:2bfe:7403
31.179.131.246	2a01:4f8:222:2216::2
31.179.131.246	2a01:4f9:4b:5511::2
31.179.131.246	2002:c35b:ef08::1
116.203.29.242	2a01:4f9:c010:43e9::1
116.203.29.242	2a01:4f8:c2c:133b::1
116.203.29.242	2a01:4f8:1c17:7ce6::1
116.203.29.242	2a01:4f8:c2c:7158::1
116.203.29.242	2a01:4f8:c2c:704e::1
116.203.29.242	2a01:4f8:190:9005::2
116.203.29.242	2a01:4f8:1c17:77b8::1
116.203.29.242	2a01:4f8:c2c:72cb::1
116.203.29.242	2a02:120b:2c27:ed60:6503:82ea:e3b2:874
79.146.22.176	2a01:4f8:141:47::2
79.146.22.176	2605:ae00:203::203
79.146.22.176	2a01:4f8:a0:52cb::2
79.146.22.176	2a02:c207:3001:8587::1
69.59.18.113	2620:6e:a000:3001::2
13.228.53.43	2a01:4f8:c17:96bf::1
13.228.53.43	2001:19f0:5801:12e2:5400:2ff:feb0:e8ad
13.228.53.43	2001:470:1f19:6ab::2
202.186.109.111	2a00:1f40:5001:100::31
202.186.109.111	2a01:4f8:121:4406::2
202.186.109.111	2001:41d0:1000:2c63::
202.186.109.111	2804:14d:4c93:9809:9769:da80:1832:3480
202.186.109.111	2a01:4f8:13a:cdd::2
202.186.109.111	2a01:4f8:202:32c6::2
82.221.111.136	2a01:7c8:aaac:89:5054:ff:feb7:f5cb
82.221.111.136	2604:2dc0:200:3f0::
82.221.111.136	2a01:4f8:150:3083::2
82.221.111.136	2a01:4f8:c2c:7504::1
82.221.111.136	2a01:4f8:c010:2f06::1
82.221.111.136	2001:1b60:2:354:1011:5444:5d01:e710
82.221.111.136	2a02:e00:fff0:1e2::1
82.221.111.136	2001:41d0:e:9e7::1
82.221.111.136	2001:41d0:1:85d3::1
82.221.111.136	2607:5300:60:9bf::1
82.221.111.136	2a03:9da0:f6:1::2
68.162.151.51	2001:470:1f07:803:20c:29ff:fe2d:5879
208.81.1.105	2a01:4f9:c010:4969::1
5.9.82.162	2a01:4f8:161:21d2::2
5.9.82.162	2a01:4f8:202:5409::2
5.9.82.162	2a01:4f8:140:305e::2
5.9.82.162	2a01:4f8:162:636f::2
5.9.82.162	2a01:4f8:192:369::2
5.9.82.162	2a01:4f8:120:4236::2
5.9.82.162	2a01:4f8:140:94ab::2
5.9.82.162	2a01:4f8:a0:839a::2
5.9.82.162	2a01:4f8:191:2e7::2
5.9.82.162	2a01:4f8:191:333::2
5.9.82.162	2a01:4f8:160:5274::2
5.9.82.162	2a01:4f8:191:5109::2
5.9.82.162	2a01:4f8:151:14f0::2
5.9.82.162	2a01:4f8:a0:10bb::2
5.9.82.162	2a01:4f8:190:7113::2
5.9.82.162	2a01:4f8:162:512a::2
5.9.82.162	2a01:4f8:160:94c7::2
5.9.82.162	2a01:4f8:121:2f8::2
5.9.82.162	2a01:4f8:162:5247::2
5.9.82.162	2a01:4f8:161:716e::2
5.9.82.162	2a01:4f8:162:4102::2
5.9.82.162	2a01:4f8:a0:910b::2
5.9.82.162	2a01:4f8:202:402f::2
5.9.82.162	2a01:4f8:190:7346::2
5.9.82.162	2a01:4f8:120:427e::2
