ip4	ip6
37.59.47.27	2001:41d0:8:6a1b::
116.203.29.242	2a01:4f8:190:9005::2
116.203.29.242	2a01:4f8:c2c:133b::1
85.10.192.158	2a01:4f8:202:5409::2
85.10.192.158	2a01:4f8:161:716e::2
85.10.192.158	2a01:4f8:191:2e7::2
85.10.192.158	2a01:4f8:161:440b::2
85.10.192.158	2a01:4f8:a0:23fe::2
85.10.192.158	2a01:4f8:190:64c6::2
85.10.192.158	2a01:4f8:160:94c7::2
85.10.192.158	2a01:4f8:162:5247::2
85.10.192.158	2a01:4f8:202:402f::2
85.10.192.158	2a01:4f8:151:82a7::2
85.10.192.158	2a01:4f8:202:5118::2
85.10.192.158	2a01:4f8:191:20e7::2
85.10.192.158	2a01:4f8:191:64c7::2
85.10.192.158	2a01:4f8:191:14b3::2
85.10.192.158	2a01:4f8:151:62c1::2
85.10.192.158	2a01:4f8:150:44af::2
85.10.192.158	2a01:4f8:161:7304::2
85.10.192.158	2a01:4f8:150:8417::2
85.10.192.158	2a01:4f8:192:52f1::2
85.10.192.158	2a01:4f8:192:5305::2
85.10.192.158	2a01:4f8:190:11d7::2
85.10.192.158	2a01:4f8:a0:81bb::2
85.10.192.158	2a01:4f8:161:72b1::2
85.10.192.158	2a01:4f8:191:1122::2
85.10.192.158	2a01:4f8:a0:41f6::2
85.10.192.158	2a01:4f8:150:2088::2
85.10.192.158	2a01:4f8:160:904e::2
85.10.192.158	2a01:4f8:191:710b::2
85.10.192.158	2a01:4f8:160:722b::2
85.10.192.158	2a01:4f8:a0:3043::2
85.10.192.158	2a01:4f8:141:224b::2
85.10.192.158	2a01:4f8:a0:53a8::2
85.10.192.158	2a01:4f8:192:3c1::2
85.10.192.158	2a01:4f8:190:7256::2
85.10.192.158	2a01:4f8:160:8442::2
85.10.192.158	2a01:4f8:162:70b6::2
85.10.192.158	2a01:4f8:191:3349::2
85.10.192.158	2a01:4f8:191:946c::2
85.10.192.158	2a01:4f8:190:8361::2
85.10.192.158	2a01:4f8:190:84ed::2
85.10.192.158	2a01:4f8:121:44a5::2
85.10.192.158	2a01:4f8:162:4116::2
85.10.192.158	2a01:4f8:151:8041::2
85.10.192.158	2a01:4f8:161:3a1::2
85.10.192.158	2a01:4f8:161:9289::2
85.10.192.158	2a01:4f8:162:60cd::2
85.10.192.158	2a01:4f8:162:314a::2
85.10.192.158	2a01:4f8:a0:910b::2
85.10.192.158	2a01:4f8:190:2126::2
85.10.192.158	2a01:4f8:a0:24c1::2
85.10.192.158	2a01:4f8:191:333::2
85.10.192.158	2a01:4f8:191:2b3::2
85.10.192.158	2a01:4f8:a0:10bb::2
85.10.192.158	2a01:4f8:161:71a5::2
85.10.192.158	2a01:4f8:190:7346::2
85.10.192.158	2a01:4f8:120:427e::2
85.10.192.158	2a01:4f8:150:93c7::2
85.10.192.158	2a01:4f8:161:50a6::2
85.10.192.158	2a01:4f8:161:3354::2
85.10.192.158	2a01:4f8:162:1cc::2
85.10.192.158	2a01:4f8:151:2054::2
85.10.192.158	2a01:4f8:161:60a2::2
85.10.192.158	2a01:4f8:a0:64f6::2
85.10.192.158	2a01:4f8:160:5274::2
85.10.192.158	2a01:4f8:191:5109::2
85.10.192.158	2a01:4f8:121:2f8::2
85.10.192.158	2a01:4f8:151:5375::2
85.10.192.158	2a01:4f8:192:369::2
85.10.192.158	2a01:4f8:191:70ed::2
85.10.192.158	2a01:4f8:162:11e5::2
85.10.192.158	2a01:4f8:162:51e7::2
85.10.192.158	2a01:4f8:162:63a2::2
85.10.192.158	2a01:4f8:202:3493::2
85.10.192.158	2a01:4f8:162:1228::2
85.10.192.158	2a01:4f8:162:7381::2
85.10.192.158	2a01:4f8:190:7113::2
85.10.192.158	2a01:4f8:140:94ab::2
85.10.192.158	2a01:4f8:161:305::2
85.10.192.158	2a01:4f8:162:10ae::2
85.10.192.158	2a01:4f8:191:9349::2
85.10.192.158	2a01:4f8:161:40f3::2
85.10.192.158	2a01:4f8:140:305e::2
85.10.192.158	2a01:4f8:120:4236::2
85.10.192.158	2a01:4f8:161:728a::2
85.10.192.158	2a01:4f8:a0:839a::2
85.10.192.158	2a01:4f8:151:14f0::2
212.9.185.194	2a03:4000:6:8009::1
212.9.185.194	2607:5300:60:9bf::1
212.9.185.194	2a01:4f8:110:5292::2
212.9.185.194	2001:41d0:8:d444::1
212.9.185.194	2a02:c205:2021:4216::1
212.9.185.194	2a01:4f8:141:2254::2
212.9.185.194	2a01:4f8:150:3083::2
212.9.185.194	2a02:c207:0:4971::1
212.9.185.194	2001:41d0:1:85d3::1
212.9.185.194	2a02:e00:fff0:1e2::1
212.9.185.194	2001:470:1f0a:89a::2
212.9.185.194	2001:bc8:2758:fb00::1
212.9.185.194	2001:41d0:2:d26::12
212.9.185.194	2a02:c207:2015:7472::1
212.9.185.194	2001:41d0:303:c3b7::
212.9.185.194	2001:41d0:1:b40d::1
119.29.54.159	2001:41d0:a:623c::1
119.29.54.159	2a01:e0a:16f:91e0:a6ba:dbff:fec5:1e9b
119.29.54.159	2a01:4f9:4a:4824::2
119.29.54.159	2a01:4f9:c010:b940::1
119.29.54.159	2405:aa00:2::40
119.29.54.159	2001:41d0:303:d9c3::
45.63.54.13	2a01:e34:ee85:be40:7808:50fe:5131:f525
18.223.159.195	2600:1f16:625:e00:35f2:2428:fc57:d638
111.108.18.89	2604:2dc0:200:3f0::
111.108.18.89	2a01:4f8:150:3083::2
111.108.18.89	2001:bc8:2758:fb00::1
85.4.99.111	2a02:1205:5046:36f0:cea5:c784:91b3:9b6f
18.185.76.29	2a01:4f8:190:6071::2
159.69.95.70	2a01:4f8:c2c:6095::1
159.69.95.70	2401:d002:2102:b00:211:32ff:fe9e:7ae3
185.211.59.7	2001:67c:2f0::20:fa
185.211.59.7	2607:f2f8:ad40:bc1::1
18.190.125.175	2001:41d0:1004:395b::
94.254.97.68	2a01:4f8:c2c:6095::1
94.254.97.68	2a01:4f8:c2c:7349::1
94.254.97.68	2a01:4f8:c010:2f06::1
94.254.97.68	2a01:4f8:c2c:6265::1
94.254.97.68	2a01:4f8:c010:1758::1
5.189.147.71	2a01:4f8:241:1389::2
83.162.251.163	2002:c35b:ef08::1
83.162.251.163	2001:bc8:6005:2:ec4:7aff:fe71:826e
172.104.151.93	2001:41d0:a:623c::1
172.104.151.93	2a02:7b40:50d1:e3aa::1
172.104.151.93	2a01:e0a:16f:91e0:a6ba:dbff:fec5:1e9b
