ip	num_assoc	res_definite	res_most_definite	res_btc_definite	res_probable	res_improbable	res_starke	res_scheitle	res_keyscan
37.59.47.27	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	POSITIVE	INDECISIVE
185.25.48.184	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE
172.105.38.103	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	NEGATIVE
108.30.14.21	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE
31.179.131.246	4	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	ERROR	INDECISIVE
94.174.64.12	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	INDECISIVE
116.203.29.242	3	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	NEGATIVE
47.74.185.172	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
188.112.145.230	0	NEGATIVE	NEGATIVE	ERROR	INDECISIVE	ERROR	NEGATIVE	INDECISIVE	INDECISIVE
74.110.110.234	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	NEGATIVE
95.216.12.243	0	NEGATIVE	INDECISIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	INDECISIVE
139.162.222.27	2	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	NEGATIVE
213.239.201.46	2	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
91.155.2.97	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	NEGATIVE
13.228.53.43	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	INDECISIVE
148.251.131.164	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	ERROR	NEGATIVE
207.231.235.145	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	ERROR	INDECISIVE
159.203.183.20	7	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	NEGATIVE
45.79.43.17	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	NEGATIVE
185.19.29.110	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
18.218.226.80	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	POSITIVE	INDECISIVE	NEGATIVE
103.224.118.79	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
213.174.156.72	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
154.92.16.191	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	NEGATIVE
83.162.151.227	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
194.126.113.135	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	INDECISIVE
208.81.1.105	6	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
94.177.171.73	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	ERROR	NEGATIVE
67.253.72.119	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	ERROR	INDECISIVE
85.10.192.158	77	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	INDECISIVE
35.209.51.212	0	NEGATIVE	INDECISIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	INDECISIVE
45.32.232.25	6	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	NEGATIVE
95.217.57.109	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	ERROR	INDECISIVE
47.56.141.204	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	NEGATIVE
92.130.196.17	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	INDECISIVE
84.112.60.16	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
35.187.221.109	6	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	NEGATIVE
13.209.215.189	8	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	ERROR	INDECISIVE
82.148.25.100	33	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	ERROR	INDECISIVE
46.23.87.218	1	NEGATIVE	NEGATIVE	NEGATIVE	POSITIVE	NEGATIVE	CONFLICT	ERROR	INDECISIVE
119.29.54.159	11	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	INDECISIVE	NEGATIVE
23.175.0.222	13	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	ERROR	INDECISIVE
45.63.54.13	31	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	POSITIVE	CONFLICT
95.142.173.153	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	ERROR	NEGATIVE
83.54.58.234	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
89.135.1.16	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	INDECISIVE
81.229.89.161	29	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	ERROR	INDECISIVE
18.223.159.195	5	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
93.190.140.14	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	CONFLICT	POSITIVE	INDECISIVE
94.52.112.227	16	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
82.221.128.31	0	NEGATIVE	INDECISIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
211.48.20.244	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
111.108.18.89	3	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
190.177.90.82	5	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	INDECISIVE
34.84.123.1	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE
18.188.10.196	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	POSITIVE	INDECISIVE	NEGATIVE
217.182.172.117	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
154.209.4.76	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	INDECISIVE
54.38.236.24	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE
54.221.1.109	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	NEGATIVE
134.209.241.36	6	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	INDECISIVE	NEGATIVE
35.178.69.217	1	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	POSITIVE	INDECISIVE	NEGATIVE
71.105.44.45	8	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	ERROR	NEGATIVE
18.228.122.94	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	NEGATIVE
81.151.114.101	27	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	CONFLICT	ERROR	INDECISIVE
185.159.81.162	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	NEGATIVE	INDECISIVE	INDECISIVE
34.226.252.136	0	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE
