ip	num_assoc	res_definite	res_most_definite	res_btc_definite	res_probable	res_improbable	res_starke	res_scheitle	res_keyscan
2001:41d0:602:25d4::	48	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	POSITIVE	POSITIVE	INDECISIVE
2607:5300:60:cff1::	2288	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	POSITIVE	POSITIVE	CONFLICT
2001:41d0:8:c697::1	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	NEGATIVE
2001:41d0:2:d41c::1	2288	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	INDECISIVE	ERROR	INDECISIVE	CONFLICT
2002:88f3:2a9c::88f3:2a9c	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	POSITIVE	POSITIVE	INDECISIVE
2a01:4f8:191:5071::2	2288	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	INDECISIVE	ERROR	INDECISIVE	CONFLICT
2001:41d0:8:6d0e::1	2288	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	INDECISIVE	ERROR	INDECISIVE	CONFLICT
2001:41d0:203:2479::	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	INDECISIVE
2a02:7b40:4f62:1e25::1	2288	CONFLICT	CONFLICT	NEGATIVE	POSITIVE	NEGATIVE	POSITIVE	POSITIVE	CONFLICT
2a01:e0a:577:9270:3955:66c5:b161:7df1	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	INDECISIVE
2607:5300:60:476d::	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	INDECISIVE
2a07:5741:0:4e4::1	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	ERROR	INDECISIVE	NEGATIVE
2002:c003:b9d2::c003:b9d2	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	POSITIVE	POSITIVE	INDECISIVE
2001:1bc0:cc::a001	2288	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	INDECISIVE	POSITIVE	POSITIVE	CONFLICT
2607:5300:60:24d2::42:5443	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	POSITIVE	POSITIVE	INDECISIVE
2a01:4f8:151:24d6::2	2288	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	POSITIVE	POSITIVE	CONFLICT
2a02:908:4f1:b0bc:5054:ff:feb7:ce4b	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	ERROR	INDECISIVE	INDECISIVE
2a01:4f8:150:630d::2	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	ERROR	INDECISIVE	NEGATIVE
2001:41d0:604:3::	2288	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	INDECISIVE	ERROR	INDECISIVE	CONFLICT
2a01:4f9:2a:201b::2	2288	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	INDECISIVE	POSITIVE	POSITIVE	CONFLICT
2c0f:fce8:0:400:b7c::1	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	INDECISIVE
2a02:7b40:b0df:8bf3::1	2288	NEGATIVE	NEGATIVE	NEGATIVE	POSITIVE	NEGATIVE	POSITIVE	POSITIVE	INDECISIVE
2a01:e0a:2d1:c4e0:dcaf:42df:10b1:646d	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	NEGATIVE
2a01:4f8:200:24bb::2	2288	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	POSITIVE	POSITIVE	CONFLICT
2a01:4f8:140:708a::2	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	NEGATIVE
2a01:cb00:d3d:7700:227:eff:fe28:c565	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	NEGATIVE
2a02:8389:1c0:9680:201:2eff:fe82:b3cc	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	NEGATIVE
2002:5dbe:8c0e::5dbe:8c0e	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	POSITIVE	POSITIVE	INDECISIVE
2607:f2f8:ad40:bc1::1	2288	NEGATIVE	NEGATIVE	NEGATIVE	POSITIVE	INDECISIVE	ERROR	INDECISIVE	INDECISIVE
2a01:4f9:c010:5a67::1	2288	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	INDECISIVE	ERROR	INDECISIVE	CONFLICT
2607:f2c0:ec98:5:dea6:32ff:fe0a:9687	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	ERROR	INDECISIVE	NEGATIVE
2a01:4f8:13b:17e5::2	2288	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	INDECISIVE	ERROR	INDECISIVE	CONFLICT
2a01:d0:bef2::12	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	INDECISIVE
2001:4ba0:fffa:5d::93	2288	CONFLICT	CONFLICT	NEGATIVE	POSITIVE	NEGATIVE	ERROR	INDECISIVE	CONFLICT
2a03:b0c0:2:f0::92:d001	2288	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	CONFLICT
2001:41d0:1:ffa8::1	2288	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	POSITIVE	POSITIVE	CONFLICT
2001:41d0:303:6826::	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	INDECISIVE
2401:3900:2:1::2	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	ERROR	INDECISIVE	NEGATIVE
2a01:4f8:151:52cc::2	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	INDECISIVE
2a01:4f9:c010:4969::1	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	INDECISIVE
2001:41d0:a:2496::1	2288	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	INDECISIVE	ERROR	INDECISIVE	CONFLICT
2a01:4f8:171:351b::2	2288	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	CONFLICT
2a01:79c:cebc:61d4:40d:8172:205c:783c	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	ERROR	INDECISIVE	INDECISIVE
2001:41d0:8:b7d0::1	2288	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	POSITIVE	POSITIVE	CONFLICT
2605:e200:d202:300:20c:29ff:fef1:85ec	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	POSITIVE	POSITIVE	NEGATIVE
2602:ffb6:4:2798:f816:3eff:fe2f:5441	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	NEGATIVE
2002:175f:6692::175f:6692	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	POSITIVE	POSITIVE	INDECISIVE
2607:5300:60:2827::	2288	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	POSITIVE	POSITIVE	CONFLICT
2a02:2149:861b:3600:210:5aff:fea2:e07a	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	ERROR	INDECISIVE	INDECISIVE
2a01:4f8:190:91c4::2	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	NEGATIVE
2002:175e:bc32::175e:bc32	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	POSITIVE	POSITIVE	INDECISIVE
2604:2dc0:100:42e::	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	INDECISIVE
2001:41d0:2:2405::1	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	INDECISIVE
2a03:4000:6:416c::43	2288	CONFLICT	CONFLICT	NEGATIVE	POSITIVE	NEGATIVE	ERROR	INDECISIVE	CONFLICT
2002:c003:1c72::c003:1c72	2288	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	INDECISIVE	POSITIVE	POSITIVE	INDECISIVE
2a01:7e01::f03c:92ff:fea7:e78b	2432	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	CONFLICT
2600:3c04::f03c:92ff:fea7:297a	2432	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	CONFLICT
2400:8902::f03c:92ff:feb3:8990	2432	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	CONFLICT
2a02:1205:5028:3220:4f0:1a61:6ed7:d20f	2432	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	INDECISIVE
2a03:4000:24:569:c8c5:c4ff:fe37:7cb	2432	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	CONFLICT
2400:8904::f03c:92ff:fea7:e749	2432	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	CONFLICT
2600:3c03::f03c:92ff:fea7:e709	2432	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	CONFLICT
2400:8907::f03c:92ff:fea7:e733	2432	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	CONFLICT
2600:3c02::f03c:92ff:feb3:89d2	2432	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	CONFLICT
2a02:1205:5050:c3c0:446:4746:713a:67f3	2432	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	INDECISIVE
2a02:1205:5051:ecf0:c5e:b228:4bce:91a0	2432	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	INDECISIVE
2600:3c00::f03c:92ff:feb3:89d8	2432	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	CONFLICT
2a02:c207:3003:2518::1	2432	NEGATIVE	NEGATIVE	NEGATIVE	POSITIVE	NEGATIVE	POSITIVE	POSITIVE	INDECISIVE
2600:3c01::f03c:92ff:fea7:e713	2432	CONFLICT	CONFLICT	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	CONFLICT
2a02:1205:c68d:ee20:86d:e90:5714:3478	2432	NEGATIVE	NEGATIVE	NEGATIVE	INDECISIVE	NEGATIVE	ERROR	INDECISIVE	INDECISIVE
