ip4	ip6
116.203.29.242	2a01:4f8:c2c:133b::1
208.81.1.105	2605:e200:d202:300:20c:29ff:fef1:85ec
85.10.192.158	2a01:4f8:a0:64f6::2
98.111.246.120	2001:470:1f07:803:20c:29ff:fe2d:5879
46.105.101.28	2001:41d0:2:d41c::1
212.47.247.105	2001:bc8:47a0:1c23::1
66.240.237.172	2002:42f0:ed9b::42f0:ed9b
66.240.237.172	2002:42f0:edac::42f0:edac
89.28.117.31	2001:470:1f1a:172::2
144.76.98.163	2a01:4f8:192:33a2::2
5.9.142.41	2a01:4f8:190:2126::2
176.9.112.164	2a01:4f8:151:62c1::2
5.9.67.151	2a01:4f8:161:728a::2
95.216.41.228	2a01:4f9:2a:201b::2
103.99.168.130	2401:b140::44:130
135.181.41.129	2a01:4f9:c010:b940::1
5.9.54.133	2a01:4f8:161:50a6::2
93.190.140.14	2002:5dbe:8c0e::5dbe:8c0e
84.22.114.15	2a02:2770:17:0:21a:4aff:fe7b:175f
151.236.34.161	2a02:af8:fab0:804:151:236:34:161
95.179.188.215	2001:19f0:5001:2eea:5400:2ff:fe2f:dac3
176.9.28.202	2a01:4f8:150:3096::2
95.217.59.181	2a01:4f9:4a:13a5::2
176.9.38.164	2a01:4f8:150:44af::2
207.251.84.210	2001:458:20:100::6
5.9.48.243	2a01:4f8:161:40f3::2
149.202.192.164	2001:41d0:1000:a4::
176.9.28.155	2a01:4f8:150:3096::2
168.119.0.182	2a01:4f8:242:4b89::2
91.121.86.38	2001:41d0:1:8b26::1
138.68.92.248	2a03:b0c0:3:d0::41d:b001
176.9.47.132	2a01:4f8:150:6385::2
178.33.228.210	2001:41d0:8:25d2::
174.95.0.121	2a0b:dbc1:2:8194:62:6974:636f:696e
5.9.86.83	2a01:4f8:162:10ae::2
144.217.65.241	2607:5300:60:cff1::
144.76.19.35	2a01:4f8:191:1122::2
195.201.164.162	2a01:4f8:13a:cdd::2
51.210.98.10	2001:41d0:303:d80a::
185.78.209.27	2a05:6d40:b94e:d100:225:90ff:fe0d:cfc2
85.214.123.127	2a01:238:4380:1400:ac93:d34b:7f20:ea18
148.251.44.3	2a01:4f8:201:9402::2
37.187.100.150	2001:41d0:a:2496::1
88.198.33.241	2a01:4f8:a0:3043::2
176.9.22.148	2a01:4f8:150:2088::2
148.251.186.36	2a01:4f8:211:79f::2
95.217.200.31	2a01:4f9:4a:4320::2
37.61.219.34	2a01:7a0:2:1511:ae1f:6bff:fe20:4c74
209.177.86.19	2002:d1b1:5615::d1b1:5615
209.141.54.72	2605:6400:20:13bf:df1d:181c:83bb:22e8
144.76.29.232	2a01:4f8:191:20e7::2
144.76.1.20	2a01:4f8:190:7113::2
157.90.21.130	2a01:4f8:c2c:cfa4::1
148.251.81.51	2a01:4f8:202:5118::2
