claranet01.ring.nlnog.net,195.157.9.4,2001:a88:0:ff00::4
amazon02.ring.nlnog.net,52.210.89.115,2a05:d018:9f2:ed00::1:2
citynetwork02.ring.nlnog.net,185.2.152.103,2001:67c:174c:1::103
sedmiodjel01.ring.nlnog.net,185.98.14.190,2a04:a7c0:a001:dc01::b962:ebe
viatel04.ring.nlnog.net,185.54.142.34,2a02:220:80:0:20c:29ff:febe:fe6d
plusline01.ring.nlnog.net,213.83.46.196,2a02:2e0:414:101::196
elastx01.ring.nlnog.net,217.61.244.211,2a07:2180::217:61:244:211
plutex01.ring.nlnog.net,91.202.41.253,2a02:16d0:0:2::2
transip01.ring.nlnog.net,149.210.130.136,2a01:7c8:aab1:3f8::1
rootnl01.ring.nlnog.net,217.119.224.247,2a02:1398:800::247
digitalocean01.ring.nlnog.net,139.59.170.31,2a03:b0c0:1:a1::1838:e001
kracon01.ring.nlnog.net,185.38.24.57,2a00:fbe0:12::57
web2objects02.ring.nlnog.net,167.160.44.65,2602:ffd9:411:6::2
maxitel01.ring.nlnog.net,185.29.203.222,2a04:4341:1:1::2
amazon11.ring.nlnog.net,52.79.39.89,2406:da12:fc3:5300::11
ntt01.ring.nlnog.net,165.254.21.124,2001:418:1456:b0a::2
unithost01.ring.nlnog.net,89.31.56.43,2a05:52a0:65::20
nero01.ring.nlnog.net,207.98.65.50,2605:bc80:0:2::50
hostvirtual01.ring.nlnog.net,103.6.87.36,2403:2500:4000::d77
nautile01.ring.nlnog.net,115.126.160.143,2404:e400:998:0:216:3eff:fe7e:a08f
kviknet01.ring.nlnog.net,185.107.12.72,2a06:4000:0:5::8
iij01.ring.nlnog.net,202.32.157.84,2001:240:10c:5:0:69:696a:3031
netgroup01.ring.nlnog.net,77.66.16.178,2001:1448:0:a602:250:56ff:feb2:41ff
tdc01.ring.nlnog.net,193.162.154.27,2001:6c8:2:800::27
merit01.ring.nlnog.net,192.122.200.171,2001:48a8:7fff:13::3
signet01.ring.nlnog.net,81.21.136.3,2001:4cb8:1:ff03::2
automattic01.ring.nlnog.net,45.121.183.100,2403:6b80:ffff::2d79:b764
mironet01.ring.nlnog.net,109.71.96.106,2a00:17e0:4000:7e2::6d47:606a
choopa01.ring.nlnog.net,45.63.14.202,2001:19f0:300:62a8:5400:ff:fe09:a1cd
xs4all01.ring.nlnog.net,82.94.249.162,2001:888:2000:3e::1337
infomaniak01.ring.nlnog.net,83.166.136.173,2001:1600:4:8:f816:3eff:fe6d:bc56
masterinternet01.ring.nlnog.net,85.118.134.2,2a01:430:100:2::2
afilias03.ring.nlnog.net,199.19.52.229,2001:500:a:500::229
nexiu01.ring.nlnog.net,87.253.248.13,2a01:7f8:0:10f::13
sixdegrees01.ring.nlnog.net,78.41.154.18,2a02:298:81:1337::b33f
datagrouptransit01.ring.nlnog.net,77.88.255.201,2a01:758:fff4:1::c9
netrouting01.ring.nlnog.net,37.46.195.238,2a00:dd0:0:53::2
communityrack01.ring.nlnog.net,185.95.216.100,2a05:fc80:2:21::100
elastx03.ring.nlnog.net,212.237.146.133,2a07:2180:0:6:212:237:146:133
ehsab02.ring.nlnog.net,178.236.73.122,2a02:1610:1000:2::2
cyberfusion01.ring.nlnog.net,185.233.175.245,2a0c:eb00:0:f7:185:233:175:245
claranet04.ring.nlnog.net,195.22.19.34,2001:4cc0:cafe:babe::2
sargasso01.ring.nlnog.net,78.158.81.4,2a05:e200:1:69::1
quxlabs01.ring.nlnog.net,193.182.61.51,2a0a:3507:1:3001::3e04
gigabit01.ring.nlnog.net,185.24.168.23,2a00:7660:100:23::2
globaledc01.ring.nlnog.net,79.143.213.22,2a00:1280:8003:78::10
redpilllinpro01.ring.nlnog.net,87.238.49.250,2a02:c0:200:104::1
underworld01.ring.nlnog.net,91.213.203.91,2001:67c:398::91
rackfish01.ring.nlnog.net,194.169.225.130,2a00:59c0:1:3::130
simplytransit01.ring.nlnog.net,94.76.229.204,2a02:af8:1:4300::4516
digitalocean02.ring.nlnog.net,128.199.216.83,2400:6180:0:d0::35f7:3001
duocast01.ring.nlnog.net,89.188.27.98,2a01:1b0:7999:453::50
westnetz01.ring.nlnog.net,185.142.180.252,2a07:2ec0:2140:0:80:41ff:fe50:1d0a
amatis01.ring.nlnog.net,77.246.27.26,2a00:1990:2727::2726
telus01.ring.nlnog.net,154.11.253.242,2001:56a:2:3::f2
amazon12.ring.nlnog.net,52.66.51.117,2406:da1a:1b5:8d00::12
zitcom01.ring.nlnog.net,94.231.110.110,2a02:2338:ff00::705:1
comvive01.ring.nlnog.net,93.93.68.99,2a00:1d70:1::68:99
unet01.ring.nlnog.net,84.53.65.133,2a02:120:4009::133
ionswitch01.ring.nlnog.net,66.11.126.68,2605:fb80:e000:9d18::1
netsign01.ring.nlnog.net,217.115.1.67,2a00:1328:e000:456::67
ovh01.ring.nlnog.net,37.187.111.58,2001:41d0:a:643a::137
surfnet01.ring.nlnog.net,192.42.123.22,2001:678:230:2123:192:42:123:22
spacenet01.ring.nlnog.net,195.30.193.17,2001:608:1:151::17
nimag01.ring.nlnog.net,62.220.128.73,2001:788:2:143::2
vpsfree01.ring.nlnog.net,83.167.228.93,2a01:430:17:1::ffff:99
ebox02.ring.nlnog.net,67.221.48.38,2606:6d00:0:302::2
myloc01.ring.nlnog.net,89.163.234.146,2001:4ba0:1337:1::2
dragon01.ring.nlnog.net,213.168.176.84,2a02:13b8:7800::2
proserve01.ring.nlnog.net,83.96.195.104,2001:828:100:82:11:104:0:1
sonic01.ring.nlnog.net,70.36.170.6,2001:5a8:201:4::2
vertixo01.ring.nlnog.net,92.63.161.60,2a01:a680:a1:10:1:60::
digitalocean03.ring.nlnog.net,188.166.37.221,2a03:b0c0:2:d0::2084:6001
kantonsschulezug01.ring.nlnog.net,46.234.32.56,2001:4b20:c001::1000
sabay01.ring.nlnog.net,118.67.200.190,2405:aa00:4:298::190
godaddy01.ring.nlnog.net,62.138.161.20,2001:1520:100::4
lgi01.ring.nlnog.net,62.99.159.106,2a02:8384:11:4::106
entanet01.ring.nlnog.net,78.33.35.246,2001:4d48:face:e::2
ntt03.ring.nlnog.net,61.200.92.132,2001:218:200f:3::2
amazon13.ring.nlnog.net,35.182.42.245,2600:1f11:2d1:6d00::13
tilaa01.ring.nlnog.net,46.19.36.12,2a02:2770::21a:4aff:feac:4576
syseleven01.ring.nlnog.net,37.49.155.108,2a00:7fc0:4000:13::9
edsitech01.ring.nlnog.net,185.50.191.247,2a04:c000:ed51:919:247::1
heanet01.ring.nlnog.net,193.1.33.23,2001:770:1c:7::c101:2117
